Major,College,Type
Kuokoa - Aina Based Leadership,University of Hawaiʻi at Mānoa,GCert
Labor Studies,University of Hawaiʻi–West Oʻahu,UCert
Landscape Architecture,University of Hawaiʻi at Mānoa,MLA
Languages & Literatures of Europe & the Americas,University of Hawaiʻi at Mānoa,BA
Latin America & Iberian Studies,University of Hawaiʻi at Mānoa,UCert
Law,University of Hawaiʻi at Mānoa,"JD, LLM"
Law and Society,University of Hawaiʻi at Mānoa,UCert
Learning Design and Technology,University of Hawaiʻi at Mānoa,"PhD, MEd"
Legal Secretary,Kapiʻolani Community College,CO
Liberal Arts,Hawaiʻi Community College,AA
Liberal Arts,Honolulu Community College,AA
Liberal Arts,Kapiʻolani Community College,AA
Liberal Arts,Kauaʻi Community College,AA
Liberal Arts,Leeward Community College,AA
Liberal Arts,Maui College,AA
Liberal Arts,Windward Community College,AA
Liberal Studies,University of Hawaiʻi at Hilo,BA
Library & Information Science,University of Hawaiʻi at Mānoa,"MLISC, GCert"
Limu Studies,Windward Community College,CO
Linguistics,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Linguistics,University of Hawaiʻi at Hilo,BA
Literacy Leader,University of Hawaiʻi at Mānoa,GCert
Long Term Care Nurse Aide,University of Hawaiʻi–West Oʻahu,UCert
Long Term Care Nurse Aide,Kapiʻolani Community College,CO
"Machine, Welding & Industrial Mechanics Technologies",Hawaiʻi Community College,"AAS, CA, CO"
Management,University of Hawaiʻi at Mānoa,BBA
Management,Leeward Community College,"AS, CA, CO"
Management Information Systems,University of Hawaiʻi at Mānoa,"MS, BBA"
Marine Biology,University of Hawaiʻi at Mānoa,"PhD, MS, BS, BA"
Marine Naturalist,Maui College,CO
Marine Option,University of Hawaiʻi at Mānoa,UCert
Marine Option,University of Hawaiʻi at Hilo,UCert
Marine Option,Hawaiʻi Community College,ASC
Marine Option,Honolulu Community College,ASC
Marine Science,University of Hawaiʻi at Hilo,"BS, BA"
Marketing,University of Hawaiʻi at Mānoa,"MS, BBA"
Marketing,Hawaiʻi Community College,"AAS, CA"
Marketing,Kapiʻolani Community College,CO
Marketing Management,University of Hawaiʻi at Mānoa,MS
Mathematical Biology,University of Hawaiʻi at Mānoa,UCert
Mathematics,University of Hawaiʻi at Mānoa,"PhD, MA, BS, BA"
Mathematics,University of Hawaiʻi at Hilo,BA
Measurement and Statistics,University of Hawaiʻi at Mānoa,GCert
Mechanical Engineering,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Mechatronics,Leeward Community College,"AS, CA, CO"
Medical Assisting,Kapiʻolani Community College,"AS, CA, CO"
Medical Assisting,Kauaʻi Community College,CA
Medical Lab Technician,Kapiʻolani Community College,AS
Medical Technology,University of Hawaiʻi at Mānoa,BS
Medicine,University of Hawaiʻi at Mānoa,MD
Mental Health Technician,Windward Community College,CO
Microbiology,University of Hawaiʻi at Mānoa,"PhD, MS, BS, BA"
Mobile Intensive Care Technician,Kapiʻolani Community College,"AS, CA"
Molecular Biosciences and Bioengineering,University of Hawaiʻi at Mānoa,"PhD, MS"
Molecular Biosciences and Biotechnology,University of Hawaiʻi at Mānoa,BS
Molecular Cell Biology,University of Hawaiʻi at Mānoa,BS
Multidisciplinary Hawaiian Studies,University of Hawaiʻi at Hilo,UCert
Multilingual Multicultural Professional Practice,University of Hawaiʻi at Mānoa,GCert
Museum Studies,University of Hawaiʻi at Mānoa,GCert
Music,University of Hawaiʻi at Mānoa,"PhD, MMus, MA, BMus, BA, UCert"
Music,University of Hawaiʻi–West Oʻahu,UCert
Music & Entertainment Learning Experience,Honolulu Community College,AS
Natural Resources & Environmental Management,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Natural Science,University of Hawaiʻi at Hilo,BA
Natural Science,Hawaiʻi Community College,AS
Natural Science,Honolulu Community College,AS
Natural Science,Kapiʻolani Community College,"AS, CA, CO"
Natural Science,Kauaʻi Community College,AS
Natural Science,Leeward Community College,AS
Natural Science,Maui College,AS
Natural Science,Windward Community College,AS
